id,title,orchestra,singer,style,year,decade,duration_seconds,file_path,tags,notes,bpm,key,energy,danceability,album,filename
61589d50-9ce3-5a5f-a37b-7a7bfcf65ba2,El Flete,Juan D'Arienzo,Instrumental,tango,2000.0,2000s,178.69,data/raw/vol-03 la fiesta de buenos aires/01 el flete.mp3,,,132.3963165283203,A,0.0065556420013308,1.0631808042526243,vol-03 la fiesta de buenos aires,01 el flete.mp3
a9dc5611-a29e-5194-842f-43109350bfe7,El Cachafaz,Juan D'Arienzo,Instrumental,tango,1953.0,1950s,159.07,data/raw/vol-12 la fiesta de buenos aires/06 el cachafaz.mp3,,,128.98617553710938,C,0.0074628260917961,1.036296248435974,vol-12 la fiesta de buenos aires,06 el cachafaz.mp3
5d5c505b-a562-5287-9da2-d3a7e0bd3514,La Mariposa,Juan D'Arienzo,Instrumental,tango,1949.0,1940s,143.66,data/raw/vol-07 la fiesta de buenos aires/14 la mariposa.mp3,,,129.96250915527344,B,0.0101482234895229,1.093541979789734,vol-07 la fiesta de buenos aires,14 la mariposa.mp3
d468ef55-ee10-582c-981f-cf953434da69,Don Esteban,Juan D'Arienzo,Instrumental,tango,1920.0,1920s,206.61,data/raw/vol-40 la fiesta de buenos aires/06 don esteban.mp3,,,133.5106964111328,E,0.007570122834295,0.9579439759254456,vol-40 la fiesta de buenos aires,06 don esteban.mp3
ae87302d-b33d-5c16-9042-909b3cf562b9,Venus,Juan D'Arienzo,Instrumental,tango,1961.0,1960s,159.68,data/raw/vol-28 la fiesta de buenos aires/18 venus.mp3,,,125.4049301147461,D,0.0117051796987652,1.0198404788970947,vol-28 la fiesta de buenos aires,18 venus.mp3
8178a1d8-63cb-5e1a-8301-53d96a3a7bf7,Mañana Zarpa Un Barco,Lucio Demare,Carlos Miranda,tango,1942.0,1940s,198.34,data/raw/vol-26 la fiesta de buenos aires/08 mañana zarpa un barco.mp3,,,118.2967529296875,C,0.0069233747199177,1.08250093460083,vol-26 la fiesta de buenos aires,08 mañana zarpa un barco.mp3
233d3304-a899-546f-b2dd-96fcd795b41a,Telon,Lucio Demare,Carlos Miranda,tango,1938.0,1930s,172.58,data/raw/vol-26 la fiesta de buenos aires/07 telon.mp3,,,123.1634521484375,B,0.0052541405893862,1.0706703662872314,vol-26 la fiesta de buenos aires,07 telon.mp3
e063082b-d688-5b76-aad5-c31256cdf10c,Malena,Lucio Demare,Carlos Miranda,tango,1942.0,1940s,174.61,data/raw/vol-26 la fiesta de buenos aires/06 malena.mp3,,,125.19103240966795,D,0.0064177378080785,1.0628228187561035,vol-26 la fiesta de buenos aires,06 malena.mp3
282745fb-b0e9-5c7a-b8ad-bf93176f4b33,Sorbos Amargos,Lucio Demare,Carlos Miranda,tango,1942.0,1940s,203.64,data/raw/vol-26 la fiesta de buenos aires/09 sorbos amargos.mp3,,,117.99651336669922,C#,0.0063955937512218,1.0388574600219729,vol-26 la fiesta de buenos aires,09 sorbos amargos.mp3
5f6fcf2c-169f-5826-a8d7-e96f7b4d8639,El Pescante,Lucio Demare,Raúl Berón,tango,1943.0,1940s,192.48,data/raw/vol-14 la fiesta de buenos aires/21 el pescante.mp3,,,120.33940887451172,E,0.008111604489386,1.0375399589538574,vol-14 la fiesta de buenos aires,21 el pescante.mp3
e0390587-0e06-5aee-b8c1-a62456809631,Me Llaman El Zorro,Lucio Demare,Raúl Berón,tango,1943.0,1940s,171.4,data/raw/vol-14 la fiesta de buenos aires/23 me llaman el zorro.mp3,,,120.52182006835938,B,0.0077297464013099,0.9848336577415466,vol-14 la fiesta de buenos aires,23 me llaman el zorro.mp3
